notion_id;capacite_id;role
MAT_AIRES;ITM_MAT_C3_6E_C17;PRINCIPALE
MAT_AIRES;ITM_MAT_C3_6E_C18;PRINCIPALE
MAT_VOLUMES;ITM_MAT_C3_6E_C19;PRINCIPALE
MAT_HORAIRES_ET_DUREES;ITM_MAT_C3_6E_C20;PRINCIPALE
MAT_CONFIGURATIONS_PLANES;ITM_MAT_C3_6E_C21;PRINCIPALE
MAT_CONFIGURATIONS_PLANES;ITM_MAT_C3_6E_C22;PRINCIPALE
MAT_CONFIGURATIONS_PLANES;ITM_MAT_C3_6E_C23;PRINCIPALE
MAT_CONFIGURATIONS_PLANES;ITM_MAT_C3_6E_C24;PRINCIPALE
MAT_VISION_DANS_L_ESPACE;ITM_MAT_C3_6E_C25;PRINCIPALE
MAT_ORGANISATION_ET_GESTION_DE_DONNEES;ITM_MAT_C3_6E_C26;PRINCIPALE
MAT_ORGANISATION_ET_GESTION_DE_DONNEES;ITM_MAT_C3_6E_C27;PRINCIPALE
MAT_PROBABILITES;ITM_MAT_C3_6E_C28;PRINCIPALE
MAT_PROBABILITES;ITM_MAT_C3_6E_C29;PRINCIPALE
MAT_PROP;ITM_MAT_C3_6E_C30;PRINCIPALE
MAT_PROP;ITM_MAT_C3_6E_C31;PRINCIPALE
MAT_PROP;ITM_MAT_C3_6E_C32;PRINCIPALE
MAT_PROP;ITM_MAT_C3_6E_C33;PRINCIPALE
MAT_INSTRUCTIONS_SEQUENCES_ET_REPETITIONS;ITM_MAT_C3_6E_C34;PRINCIPALE
MAT_INSTRUCTIONS_SEQUENCES_ET_REPETITIONS;ITM_MAT_C3_6E_C35;PRINCIPALE
MAT_INSTRUCTIONS_SEQUENCES_ET_REPETITIONS;ITM_MAT_C3_6E_C36;PRINCIPALE
MAT_OPERATIONS;ITM_MAT_C4_01_01_01;PRINCIPALE
MAT_OPERATIONS;ITM_MAT_C4_01_01_02;PRINCIPALE
MAT_FRACTION_ADD;ITM_MAT_C4_01_01_03;PRINCIPALE
