modele_id;capacite_id
C5_ITM_MAT_C4_05_01_02_001;ITM_MAT_C4_05_01_02
C4_D_4E_ATT_NOMBRES_PUISS_001;ITM_MATOLD_4E_ATT_NOMBRES_PUISS
C4_TOLD_4E_ATT_RATIONNELS_001;ITM_MATOLD_4E_ATT_RATIONNELS
C4_LD_4E_ATT_DIVISIBILITE_001;ITM_MATOLD_4E_ATT_DIVISIBILITE
C4_MATOLD_4E_ATT_LITTERAL_001;ITM_MATOLD_4E_ATT_LITTERAL
C4_ITM_MATOLD_4E_ATT_STAT_001;ITM_MATOLD_4E_ATT_STAT
C4_TM_MATOLD_4E_ATT_PROBA_001;ITM_MATOLD_4E_ATT_PROBA
C4_TOLD_4E_ATT_PROPORTION_001;ITM_MATOLD_4E_ATT_PROPORTION
C4_ATOLD_4E_ATT_FONCTIONS_001;ITM_MATOLD_4E_ATT_FONCTIONS
C4_ATOLD_4E_ATT_GRANDEURS_001;ITM_MATOLD_4E_ATT_GRANDEURS
C4__MATOLD_4E_ATT_TRANSFO_001;ITM_MATOLD_4E_ATT_TRANSFO
C4_M_MATOLD_4E_ATT_ESPACE_001;ITM_MATOLD_4E_ATT_ESPACE
C4_M_MATOLD_4E_ATT_THALES_001;ITM_MATOLD_4E_ATT_THALES
C4__MATOLD_4E_ATT_COSINUS_001;ITM_MATOLD_4E_ATT_COSINUS
C4_D_4E_ATT_DEMONSTRATION_001;ITM_MATOLD_4E_ATT_DEMONSTRATION
C4_ITM_MATOLD_4E_ATT_ALGO_001;ITM_MATOLD_4E_ATT_ALGO
C3_TM_MATOLD_3E_ATT_PUISS_001;ITM_MATOLD_3E_ATT_PUISS
C3_TOLD_3E_ATT_RATIONNELS_001;ITM_MATOLD_3E_ATT_RATIONNELS
C3_LD_3E_ATT_DIVISIBILITE_001;ITM_MATOLD_3E_ATT_DIVISIBILITE
C3_MATOLD_3E_ATT_LITTERAL_001;ITM_MATOLD_3E_ATT_LITTERAL
C3_ATOLD_3E_ATT_EQUATIONS_001;ITM_MATOLD_3E_ATT_EQUATIONS
