gabarit_compose_id;ressource_id;type;moteur;position
GABC_DNB_GEOM_AMENAGEMENT;FIGURE;FIGURE_GEOMETRIQUE;plan_triangle_rectangle;APRES_CONTEXTE
GABC_DNB_FONC_TARIFS;GRAPHIQUE;GRAPHIQUE;courbes_affines_tarifs;APRES_CONTEXTE
GABC_DNB_DATA_ENQUETE;DIAGRAMME;DIAGRAMME;diagramme_batons_enquete;APRES_CONTEXTE
GABC_DNB_ALGO_PROGRAMME;SCRATCH;SCRATCH;programme_calcul_scratch;APRES_Q2
GABC_DNB_GEOM_THALES;FIGURE;FIGURE_GEOMETRIQUE;schema_thales_ombres;APRES_CONTEXTE
GABC_DNB_GRAND_CUVE;SCHEMA;SCHEMA;schema_cuve_pave;APRES_CONTEXTE
