horaire_id;niveau_id;enseignement_id;volume;unite;statut;source_id;version_id;serie_id;portee
HOR0042;2GT;FRA;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0043;2GT;HG_LYCEE;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0044;2GT;LVA_LVB;5.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0045;2GT;SES;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0046;2GT;MATH_2GT;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0047;2GT;PC_LYCEE;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0048;2GT;SVT_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0049;2GT;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0050;2GT;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0051;2GT;SNT;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0052;1G;FRA;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0053;1G;HG_LYCEE;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0054;1G;LVA_LVB;4.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0055;1G;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0056;1G;ENS_SCI;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0057;1G;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;;COMMUN
HOR0058;TG;PHILO;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;;COMMUN
HOR0059;TG;HG_LYCEE;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;;COMMUN
HOR0060;TG;LVA_LVB;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;;COMMUN
HOR0061;TG;ENS_SCI;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;;COMMUN
HOR0062;TG;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;;COMMUN
HOR0063;TG;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;;COMMUN
HOR0064;1G;ARTS_SPEC;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0065;TG;ARTS_SPEC;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0066;1G;EPPCS;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0067;TG;EPPCS;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0068;1G;HGGSP;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0069;TG;HGGSP;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0070;1G;HLP;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0071;TG;HLP;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0072;1G;LLCER;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0073;TG;LLCER;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0074;1G;LLCA;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0075;TG;LLCA;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0076;1G;MATH_SPEC;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0077;TG;MATH_SPEC;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0078;1G;NSI;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0079;TG;NSI;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0080;1G;PC_SPEC;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0081;TG;PC_SPEC;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0082;1G;SVT_SPEC;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0083;TG;SVT_SPEC;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0084;1G;SI;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0085;TG;SI;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0086;1G;SES_SPEC;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0087;TG;SES_SPEC;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0088;1G;BIO_ECO;4;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2026_2027;G;COMPLEMENT_SERIE
HOR0089;TG;BIO_ECO;6;HEURE_SEMAINE;SPECIALITE;SRC_EDUSCOL_LGT_2026;2027_2028;G;COMPLEMENT_SERIE
HOR0090;1G;LVC;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2026_2027;G;GRILLE_SERIE
HOR0091;1G;LCA_LATIN;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2026_2027;G;GRILLE_SERIE
HOR0092;1G;LCA_GREC;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2026_2027;G;GRILLE_SERIE
HOR0093;1G;EPS_OPT;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2026_2027;G;GRILLE_SERIE
HOR0094;1G;ARTS_OPT;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2026_2027;G;GRILLE_SERIE
HOR0095;1G;LSF;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2026_2027;G;GRILLE_SERIE
HOR0096;TG;LVC;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2027_2028;G;GRILLE_SERIE
HOR0097;TG;LCA_LATIN;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2027_2028;G;GRILLE_SERIE
HOR0098;TG;LCA_GREC;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2027_2028;G;GRILLE_SERIE
HOR0099;TG;EPS_OPT;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2027_2028;G;GRILLE_SERIE
HOR0100;TG;ARTS_OPT;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2027_2028;G;GRILLE_SERIE
HOR0101;TG;LSF;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2027_2028;G;GRILLE_SERIE
HOR0102;TG;MATH_COMPLEMENTAIRES;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2027_2028;G;GRILLE_SERIE
HOR0103;TG;MATH_EXPERTES;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2027_2028;G;GRILLE_SERIE
HOR0104;TG;DROIT_GEMC;3;HEURE_SEMAINE;OPTIONNEL;SRC_EDUSCOL_LGT_2026;2027_2028;G;GRILLE_SERIE
HOR0105;1T;FRA;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;ST2S;GRILLE_SERIE
HOR0106;1T;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;ST2S;GRILLE_SERIE
HOR0107;1T;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;ST2S;GRILLE_SERIE
HOR0108;1T;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;ST2S;GRILLE_SERIE
HOR0109;1T;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;ST2S;GRILLE_SERIE
HOR0110;1T;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;ST2S;GRILLE_SERIE
HOR0111;TT;PHILO;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;ST2S;GRILLE_SERIE
HOR0112;TT;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;ST2S;GRILLE_SERIE
HOR0113;TT;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;ST2S;GRILLE_SERIE
HOR0114;TT;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;ST2S;GRILLE_SERIE
HOR0115;TT;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;ST2S;GRILLE_SERIE
HOR0116;TT;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;ST2S;GRILLE_SERIE
HOR0117;1T;FRA;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STL;GRILLE_SERIE
HOR0118;1T;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STL;GRILLE_SERIE
HOR0119;1T;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STL;GRILLE_SERIE
HOR0120;1T;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STL;GRILLE_SERIE
HOR0121;1T;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STL;GRILLE_SERIE
HOR0122;1T;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STL;GRILLE_SERIE
HOR0123;TT;PHILO;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STL;GRILLE_SERIE
HOR0124;TT;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STL;GRILLE_SERIE
HOR0125;TT;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STL;GRILLE_SERIE
HOR0126;TT;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STL;GRILLE_SERIE
HOR0127;TT;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STL;GRILLE_SERIE
HOR0128;TT;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STL;GRILLE_SERIE
HOR0129;1T;FRA;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STD2A;GRILLE_SERIE
HOR0130;1T;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STD2A;GRILLE_SERIE
HOR0131;1T;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STD2A;GRILLE_SERIE
HOR0132;1T;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STD2A;GRILLE_SERIE
HOR0133;1T;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STD2A;GRILLE_SERIE
HOR0134;1T;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STD2A;GRILLE_SERIE
HOR0135;TT;PHILO;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STD2A;GRILLE_SERIE
HOR0136;TT;HG_LYCEE;1.5;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STD2A;GRILLE_SERIE
HOR0137;TT;LVA_LVB_TECH;4;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STD2A;GRILLE_SERIE
HOR0138;TT;EPS;2;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STD2A;GRILLE_SERIE
HOR0139;TT;MATH_SPEC_TECH;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STD2A;GRILLE_SERIE
HOR0140;TT;EMC_LYCEE;18;HEURE_ANNEE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2027_2028;STD2A;GRILLE_SERIE
HOR0141;1T;FRA;3;HEURE_SEMAINE;OBLIGATOIRE;SRC_EDUSCOL_LGT_2026;2026_2027;STI2D;GRILLE_SERIE
